Letter,TP,TN,FP,FN,Accuracy,Precision,Recall,F1
ዻ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ዺ , 90 , 20250 , 90 , 0 , 81.884057971 , 50.0 , 100.0 , 66.6666666667
ጌ , 90 , 20250 , 90 , 0 , 81.884057971 , 50.0 , 100.0 , 66.6666666667
ግ , 90 , 20250 , 90 , 0 , 81.884057971 , 50.0 , 100.0 , 66.6666666667
ዿ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ዾ , 0 , 20340 , 0 , 90 , 81.884057971 , 0 , 0.0 , 0
ዽ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ዼ , 90 , 20250 , 90 , 0 , 81.884057971 , 50.0 , 100.0 , 66.6666666667
ዳ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ጇ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ጄ , 90 , 20250 , 90 , 0 , 81.884057971 , 50.0 , 100.0 , 66.6666666667
ደ , 90 , 20250 , 90 , 0 , 81.884057971 , 50.0 , 100.0 , 66.6666666667
ዷ , 90 , 20250 , 90 , 0 , 81.884057971 , 50.0 , 100.0 , 66.6666666667
ዶ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ጀ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ዴ , 0 , 20340 , 0 , 90 , 81.884057971 , 0 , 0.0 , 0
ያ , 0 , 20340 , 0 , 90 , 81.884057971 , 0 , 0.0 , 0
ዪ , 90 , 20250 , 90 , 0 , 81.884057971 , 50.0 , 100.0 , 66.6666666667
ዩ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
የ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ዮ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ይ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ዬ , 0 , 20340 , 0 , 90 , 81.884057971 , 0 , 0.0 , 0
ዣ , 0 , 20340 , 0 , 90 , 81.884057971 , 0 , 0.0 , 0
ዢ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ዡ , 90 , 20250 , 90 , 0 , 81.884057971 , 50.0 , 100.0 , 66.6666666667
ዠ , 0 , 20340 , 0 , 90 , 81.884057971 , 0 , 0.0 , 0
ዧ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ጓ , 90 , 20250 , 90 , 0 , 81.884057971 , 50.0 , 100.0 , 66.6666666667
ዥ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
